column_name,info
child_icu_text,"{'data_type': 'text', 'value_range': {'null_count': 19811, 'null_percentage': 99.87, 'description': 'not applicable'}}"
child_fayu_is,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
child_fayu_text,"{'data_type': 'category_text', 'value_range': {'null_count': 19832, 'null_percentage': 99.98, 'category_values': ['体重发育迟缓', '胃口差', '脑瘫'], 'category_count': 3}}"
child_bs,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
child_bs_text,"{'data_type': 'text', 'value_range': {'null_count': 19827, 'null_percentage': 99.95, 'description': 'not applicable'}}"
yb_generally,"{'data_type': 'category_int', 'value_range': {'null_count': 1595, 'null_percentage': 8.04, 'category_values': [1, 2, 3], 'category_count': 3}}"
yb_weak_state,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
cv_cf_no,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
cv_cf,"{'data_type': 'category_int', 'value_range': {'null_count': 796, 'null_percentage': 4.01, 'category_values': [1, 2, 3, 4], 'category_count': 4}}"
cv_eq_no,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
cv_eq,"{'data_type': 'category_int', 'value_range': {'null_count': 991, 'null_percentage': 5.0, 'category_values': [1, 2, 3], 'category_count': 3}}"
cv_edg_nocheck,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
cv_edg,"{'data_type': 'category_int', 'value_range': {'null_count': 5367, 'null_percentage': 27.06, 'category_values': [1, 2], 'category_count': 2}}"
cv_edg_text,"{'data_type': 'text', 'value_range': {'null_count': 14263, 'null_percentage': 71.9, 'description': 'not applicable'}}"
cv_ac_lv,"{'data_type': 'float', 'value_range': {'null_count': 19028, 'null_percentage': 95.93, 'min': 5.0, 'max': 89.0, 'mean': 47.53886138613861, 'median': 47.0}}"
cv_ac_rv,"{'data_type': 'float', 'value_range': {'null_count': 19056, 'null_percentage': 96.07, 'min': 9.0, 'max': 2637.0, 'mean': 32.73705128205128, 'median': 22.0}}"
cv_ac_sv,"{'data_type': 'float', 'value_range': {'null_count': 19062, 'null_percentage': 96.1, 'min': 5.0, 'max': 184.0, 'mean': 66.7085788113695, 'median': 65.0}}"
cv_ac_ef,"{'data_type': 'float', 'value_range': {'null_count': 18822, 'null_percentage': 94.89, 'min': 19.0, 'max': 84.0, 'mean': 64.0260946745562, 'median': 66.0}}"
cv_ac_pas,"{'data_type': 'int', 'value_range': {'null_count': 19673, 'null_percentage': 99.18, 'min': 0.0, 'max': 103.0, 'mean': 29.386503067484664, 'median': 23.0}}"
cv_hy_grad,"{'data_type': 'category_int', 'value_range': {'null_count': 16343, 'null_percentage': 82.39, 'category_values': [1, 2, 3], 'category_count': 3}}"
cv_hy_tre,"{'data_type': 'category_int', 'value_range': {'null_count': 16474, 'null_percentage': 83.05, 'category_values': [1, 2], 'category_count': 2}}"
cv_hypo,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
cv_hypo_date,"{'data_type': 'category_int', 'value_range': {'null_count': 19816, 'null_percentage': 99.9, 'category_values': [1, 2, 3], 'category_count': 3}}"
cv_ihd_ms,"{'data_type': 'category_int', 'value_range': {'null_count': 19375, 'null_percentage': 97.68, 'category_values': [1, 2, 3, 4], 'category_count': 4}}"
cv_ihd_zj,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[1]', '[2]', '[]'], 'category_count': 3}}"
cv_ihd_check,"{'data_type': 'category_int', 'value_range': {'null_count': 19407, 'null_percentage': 97.84, 'category_values': [1, 2, 3], 'category_count': 3}}"
cv_hvd_che,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
cv_chd,"{'data_type': 'category_int', 'value_range': {'null_count': 19741, 'null_percentage': 99.52, 'category_values': [1, 2], 'category_count': 2}}"
cv_dc_is,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
cv_dc,"{'data_type': 'category_int', 'value_range': {'null_count': 18823, 'null_percentage': 94.89, 'category_values': [1, 2, 3], 'category_count': 3}}"
cv_hc,"{'data_type': 'category_int', 'value_range': {'null_count': 19824, 'null_percentage': 99.94, 'category_values': [1, 2], 'category_count': 2}}"
cv_hochf_is,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
cv_hochf_scfzrq,"{'data_type': 'category_text', 'value_range': {'null_count': 19819, 'null_percentage': 99.91, 'category_values': ['2024-07', '2024-08', '2024-09'], 'category_count': 3}}"
cv_arr_d,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[1]', '[2]', '[3]', '[]'], 'category_count': 4}}"
cv_arr_z,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
cv_arr_g,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
cv_arr_xyx,"{'data_type': 'category_int', 'value_range': {'null_count': 19776, 'null_percentage': 99.7, 'category_values': [1, 2, 3], 'category_count': 3}}"
cv_pp,"{'data_type': 'category_int', 'value_range': {'null_count': 19775, 'null_percentage': 99.69, 'category_values': [1, 2], 'category_count': 2}}"
cv_ad,"{'data_type': 'category_int', 'value_range': {'null_count': 19798, 'null_percentage': 99.81, 'category_values': [1, 2], 'category_count': 2}}"
cv_emb_ss_dm,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[3]', '[]'], 'category_count': 2}}"
cv_emb_ss_dm_other,"{'data_type': 'text', 'value_range': {'null_count': 19818, 'null_percentage': 99.91, 'description': 'not applicable'}}"
cv_emb_ss_gdmzy,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[2]', '[]'], 'category_count': 2}}"
cv_emb_ss_jm,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
cv_emb_ss_jm_other,"{'data_type': 'text', 'value_range': {'null_count': 19795, 'null_percentage': 99.79, 'description': 'not applicable'}}"
cv_emb_ss_jnjmzy,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[1]', '[]'], 'category_count': 2}}"
cv_emb_ss_gjmzy,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[1,2]', '[2]', '[]'], 'category_count': 3}}"
cv_emb_xy_dm,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
cv_emb_xy_dm_other,"{'data_type': 'text', 'value_range': {'null_count': 19821, 'null_percentage': 99.92, 'description': 'not applicable'}}"
cv_emb_xy_jdmzy,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[1]', '[2,1]', '[2]', '[]'], 'category_count': 4}}"
cv_emb_xy_sdmzy,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[1]', '[2]', '[]'], 'category_count': 3}}"
cv_emb_xy_jm,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[2,4]', '[3,4]', '[4]', '[]'], 'category_count': 4}}"
cv_emb_xy_jm_other,"{'data_type': 'text', 'value_range': {'null_count': 19830, 'null_percentage': 99.97, 'description': 'not applicable'}}"
cv_pd,"{'data_type': 'category_int', 'value_range': {'null_count': 19769, 'null_percentage': 99.66, 'category_values': [1, 2], 'category_count': 2}}"
cv_xjy,"{'data_type': 'category_int', 'value_range': {'null_count': 19769, 'null_percentage': 99.66, 'category_values': [1, 2], 'category_count': 2}}"
cv_xbts,"{'data_type': 'category_int', 'value_range': {'null_count': 19769, 'null_percentage': 99.66, 'category_values': [1, 2], 'category_count': 2}}"
rs_vm,"{'data_type': 'category_int', 'value_range': {'null_count': 289, 'null_percentage': 1.46, 'category_values': [1, 2, 3], 'category_count': 3}}"
rs_vm_bht_no,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
rs_vm_bht,"{'data_type': 'category_int', 'value_range': {'null_count': 10042, 'null_percentage': 50.63, 'category_values': [1, 2, 3, 4], 'category_count': 4}}"
rs_db_grad,"{'data_type': 'category_int', 'value_range': {'null_count': 18505, 'null_percentage': 93.29, 'category_values': [1, 2, 3, 4], 'category_count': 4}}"
rs_db_rwbp,"{'data_type': 'category_int', 'value_range': {'null_count': 19684, 'null_percentage': 99.23, 'category_values': [1, 2], 'category_count': 2}}"
rs_history,"{'data_type': 'category_int', 'value_range': {'null_count': 24, 'null_percentage': 0.12, 'category_values': [1, 2], 'category_count': 2}}"
rs_copd,"{'data_type': 'category_int', 'value_range': {'null_count': 19604, 'null_percentage': 98.83, 'category_values': [1, 2, 3], 'category_count': 3}}"
rs_asthma_scfzrq,"{'data_type': 'text', 'value_range': {'null_count': 19723, 'null_percentage': 99.43, 'description': 'not applicable'}}"
rs_asthma_th,"{'data_type': 'category_int', 'value_range': {'null_count': 19667, 'null_percentage': 99.15, 'category_values': [1, 2], 'category_count': 2}}"
rs_pt,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[1]', '[]'], 'category_count': 2}}"
rs_pe_is,"{'data_type': 'category_int', 'value_range': {'null_count': 5, 'null_percentage': 0.03, 'category_values': [1, 2], 'category_count': 2}}"
rs_pe,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
rs_si,"{'data_type': 'category_int', 'value_range': {'null_count': 17946, 'null_percentage': 90.47, 'category_values': [1, 2, 3], 'category_count': 3}}"
rs_ss,"{'data_type': 'category_int', 'value_range': {'null_count': 17990, 'null_percentage': 90.69, 'category_values': [1, 2, 3, 4, 5], 'category_count': 5}}"
rs_pf_fvc,"{'data_type': 'float', 'value_range': {'null_count': 19662, 'null_percentage': 99.12, 'min': 33.0, 'max': 111.9, 'mean': 74.14597701149425, 'median': 75.92}}"
rs_pf_fev1,"{'data_type': 'float', 'value_range': {'null_count': 19759, 'null_percentage': 99.61, 'min': 30.9, 'max': 147.2, 'mean': 86.02012987012988, 'median': 83.32}}"
rs_bga_pao2,"{'data_type': 'float', 'value_range': {'null_count': 18353, 'null_percentage': 92.52, 'min': 10.4, 'max': 270.6, 'mean': 102.91220498988538, 'median': 98.4}}"
rs_bga_paco2,"{'data_type': 'float', 'value_range': {'null_count': 18344, 'null_percentage': 92.48, 'min': 12.8, 'max': 62.5, 'mean': 35.74001340482574, 'median': 35.9}}"
rs_bga_sao2,"{'data_type': 'text', 'value_range': {'null_count': 18344, 'null_percentage': 92.48, 'description': 'not applicable'}}"
rs_bga_ph,"{'data_type': 'float', 'value_range': {'null_count': 18344, 'null_percentage': 92.48, 'min': 7.091, 'max': 7.627, 'mean': 7.42858109919571, 'median': 7.426}}"
rs_bga_la,"{'data_type': 'text', 'value_range': {'null_count': 18361, 'null_percentage': 92.56, 'description': 'not applicable'}}"
rs_bga_fio2,"{'data_type': 'category_int', 'value_range': {'null_count': 19, 'null_percentage': 0.1, 'category_values': [21], 'category_count': 1}}"
rs_liangzhou,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
rs_shxdgr,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
rs_feiyan,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
rs_feibuzhang,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1], 'category_count': 1}}"
rs_qgsgl,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1], 'category_count': 1}}"
rs_zqgxml,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1], 'category_count': 1}}"
ns_state,"{'data_type': 'category_int', 'value_range': {'null_count': 396, 'null_percentage': 2.0, 'category_values': [1, 2, 3, 4, 5, 6], 'category_count': 6}}"
ns_hos,"{'data_type': 'category_int', 'value_range': {'null_count': 19587, 'null_percentage': 98.74, 'category_values': [1, 2, 3, 4], 'category_count': 4}}"
ns_hotia_time,"{'data_type': 'category_int', 'value_range': {'null_count': 19771, 'null_percentage': 99.67, 'category_values': [1, 2], 'category_count': 2}}"
ns_ib,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
ns_ih,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
ns_bp,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
ns_mca,"{'data_type': 'text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'description': 'not applicable'}}"
ns_jt,"{'data_type': 'category_int', 'value_range': {'null_count': 19825, 'null_percentage': 99.94, 'category_values': [1, 2, 3, 4], 'category_count': 4}}"
ns_other,"{'data_type': 'category_text', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': ['[2]', '[4]', '[]'], 'category_count': 3}}"
ns_dianxian,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
ns_lngr,"{'data_type': 'category_int', 'value_range': {'null_count': 0, 'null_percentage': 0.0, 'category_values': [1, 2], 'category_count': 2}}"
ems_hyp_se,"{'data_type': 'category_int', 'value_range': {'null_count': 19295, 'null_percentage': 97.27, 'category_values': [1, 2], 'category_count': 2}}"
ems_hyp_tre,"{'data_type': 'category_int', 'value_range': {'null_count': 19449, 'null_percentage': 98.05, 'category_values': [1, 2], 'category_count': 2}}"
